Cluster,Latitude,Longitude,CrimeCount
495,54.546318,-7.5760326,29
496,54.173397,-7.275299,7
497,54.897423,-6.951425,5
498,54.33899,-5.821922,13
499,55.03517,-7.2004514,9
500,54.296852,-6.7041483,5
501,54.50588,-5.714376,14
502,54.518536,-6.006806,41
503,54.529736,-6.7216487,11
504,54.302727,-5.5723705,20
505,54.486153,-5.810597,10
506,54.230408,-6.429439,6
507,54.165947,-6.632101,8
508,54.508812,-6.2937593,29
509,54.349743,-5.696695,12
510,54.746853,-6.43601,6
511,54.396984,-6.671862,20
512,54.649952,-6.2145243,144
513,54.17315,-6.130802,8
514,54.287792,-6.0890336,11
515,54.222992,-6.679887,58
516,54.63095,-6.5153375,24
517,54.477898,-6.4344244,20
518,54.637905,-6.033113,16
519,54.478306,-7.729443,9
520,54.46591,-6.543514,8
521,54.41289,-5.920108,5
522,54.45058,-5.7643805,27
523,55.02886,-7.220887,76
524,54.594906,-6.939499,22
525,55.202553,-6.227095,5
526,54.50191,-6.1034913,6
527,54.16773,-6.617588,7
528,54.95896,-6.25962,5
529,54.6178,-6.126182,11
530,54.441433,-5.7421317,12
531,54.48193,-6.5457797,13
532,54.594765,-6.057348,18
533,54.13173,-6.379434,11
534,54.183083,-7.359505,67
535,54.68761,-6.0366483,11
536,54.7347,-6.01454,17
537,54.089035,-6.3712115,48
538,54.632694,-6.168537,8
539,54.157173,-7.2765017,5
540,54.54311,-6.629711,6
541,54.963593,-7.2650714,17
542,54.813103,-6.6109223,9
543,54.707664,-7.6665926,5
544,54.06371,-5.967277,20
545,54.333576,-5.626715,7
546,54.930546,-6.289944,15
547,54.979717,-7.215512,32
548,54.517155,-6.677821,11
549,54.625122,-7.1094785,14
550,54.82001,-6.687767,19
551,54.959965,-7.244501,25
552,54.301243,-6.007383,7
553,54.21467,-6.6370835,5
554,55.051632,-6.607199,11
555,54.1821,-6.4669814,10
556,55.141315,-6.4932957,6
557,54.653526,-6.5608044,8
558,54.90637,-6.850727,6
559,54.586044,-5.633511,6
560,54.400944,-7.3691792,19
561,54.564808,-5.480492,6
562,54.86426,-7.084124,24
563,54.70096,-6.161253,8
564,54.67897,-7.340778,13
565,54.995804,-6.8751535,18
566,54.436493,-5.9998894,21
567,54.773262,-5.9514327,30
568,54.70827,-6.5333757,32
569,54.88609,-7.3893647,6
570,54.771088,-6.5743966,21
571,54.625793,-6.740315,6
572,54.371193,-6.4484553,95
573,54.20349,-6.402327,10
574,54.60277,-6.9505644,5
575,54.081966,-6.072005,7
576,54.794323,-7.5375504,32
577,54.784252,-6.807383,14
578,54.500813,-5.465366,27
579,55.037056,-7.3439956,10
580,54.49248,-6.0029807,7
581,54.385483,-5.7743487,30
582,54.719326,-6.547647,22
583,55.016914,-6.759799,5
584,54.392307,-5.882225,12
585,54.99154,-6.685248,10
586,54.508556,-5.902633,6
587,54.766342,-6.247056,9
588,54.471962,-5.981673,5
589,54.39032,-6.380141,7
590,54.126183,-6.2641153,47
591,54.762085,-6.089896,5
592,54.684826,-7.2579637,25
593,54.46161,-7.2974,6
594,54.290417,-6.3744884,61
595,54.051804,-6.0385466,19
596,54.642036,-6.919722,5
597,54.583305,-5.50496,30
598,54.336323,-5.6926665,47
599,54.312965,-5.7026234,54
600,54.96038,-6.013586,5
601,54.1237,-6.37317,14
602,54.540718,-6.641686,7
603,54.553703,-6.7416077,39
604,54.398727,-6.4411025,31
605,54.30211,-5.559354,15
606,54.57941,-5.6409883,13
607,54.309353,-7.7325883,24
608,54.61565,-7.488045,75
609,54.628845,-6.139844,17
610,54.309162,-6.649233,9
611,54.30909,-7.5402246,7
612,55.131153,-6.327227,35
613,54.73821,-6.042372,103
614,54.18084,-6.1428933,7
615,54.483456,-8.077457,7
616,54.18029,-6.2287335,81
