WardCode,WARDNAME,Population,NumberOfCrimes,CrimeRatePer100kPeople,RatePercentile,RateRank,HighCrimeRate,TotalCrimes,AvgMonthly,TrendChange,TrendPct,TrendSlope,Months,FirstMonth,LastMonth,YoYCurrent,YoYPrior,YoYChange,AnnualizedCrimeRatePer100k,TotalHarm,HarmScorePer100k,RatingScore,RatingBand
N08000239,THE BIRCHES,6098,158,888.3474675537648,0.2619047619047619,342,False,158,4.514285714285714,-0.7652782333005357,-43.75,-0.013229299591269778,35,2023-01,2025-11,3,1,200.0,888.3474675537648,212,1191.9598931734058,34.3,Stable
N08000240,THE MALL,5512,736,4578.063445987975,0.9155844155844156,40,True,736,21.02857142857143,-2.2375423318819547,-40.217391304347835,-0.06194785606550302,35,2023-01,2025-11,11,15,-26.666666666666668,4578.063445987975,893,5554.634045200083,66.3,Watch
N08000241,WARINGSTOWN,5400,287,1822.222222222222,0.6125541125541125,180,False,287,8.2,-1.7283950617283954,-80.0,-0.024950721029152426,35,2023-01,2025-11,2,4,-50.0,1822.222222222222,359,2279.3650793650795,51.9,Stable
N08000301,ANDERSONSTOWN,4648,237,1748.2173592328495,0.5995670995670995,186,False,237,6.771428571428571,-1.9363166953528401,-57.44680851063829,-0.015247062680493882,35,2023-01,2025-11,8,4,100.0,1748.2173592328495,349,2574.3791492500613,56.6,Watch
N08000302,ARDOYNE,5490,707,4415.3005464480875,0.9069264069264069,44,True,707,20.2,-0.42501517911353925,-8.333333333333323,-0.03790951717663385,35,2023-01,2025-11,24,12,100.0,4415.3005464480875,916,5720.530835284933,68.9,Watch
N08000303,BALLYGOMARTIN,5952,176,1013.8248847926267,0.3246753246753247,313,False,176,5.0285714285714285,-1.1200716845878134,-66.66666666666666,-0.008047573868256974,35,2023-01,2025-11,3,2,50.0,1013.8248847926267,297,1710.8294930875575,42.5,Stable
N08000304,BALLYMACARRETT,5905,924,5364.944961896697,0.9458874458874459,26,True,924,26.4,1.5805814281682187,32.941176470588225,0.08453169582820427,35,2023-01,2025-11,26,24,8.333333333333332,5364.944961896697,1076,6247.490020563687,96.2,High
N08000305,BALLYMURPHY,5131,323,2158.3094356432885,0.6948051948051948,142,False,323,9.228571428571428,-1.8839732345871498,-65.9090909090909,-0.03013483701802685,35,2023-01,2025-11,6,7,-14.285714285714285,2158.3094356432885,475,3173.984464181307,55.6,Watch
N08000306,BALLYSILLAN,5289,422,2735.5967911838584,0.7813852813852814,102,False,422,12.057142857142857,-1.9537404676372343,-53.44827586206896,-0.06572490974079173,35,2023-01,2025-11,11,14,-21.428571428571427,2735.5967911838584,498,3228.263511870999,56.6,Watch
N08000307,BEECHMOUNT,5394,582,3699.348482440807,0.8614718614718615,65,True,582,16.62857142857143,-4.758373501421333,-75.49019607843137,-0.040401774354532266,35,2023-01,2025-11,4,24,-83.33333333333334,3699.348482440807,878,5580.804068012077,65.4,Watch
