WARDNAME,Geo_Code,Mid_Year_Ending,Gender,Age_Group,Population_Estimate
KNOCKMORE,95SS17,2020,All persons,All ages,4891
LAGAN VALLEY,95SS18,2020,All persons,All ages,3125
LAMBEG,95SS19,2020,All persons,All ages,3121
LISNAGARVEY,95SS20,2020,All persons,All ages,2538
MAGHABERRY,95SS21,2020,All persons,All ages,5392
MAGHERALAVE,95SS22,2020,All persons,All ages,4034
MAZE,95SS23,2020,All persons,All ages,4050
MOIRA,95SS24,2020,All persons,All ages,5426
OLD WARREN,95SS25,2020,All persons,All ages,2770
POLEGLASS,95SS26,2020,All persons,All ages,3723
SEYMOUR HILL,95SS27,2020,All persons,All ages,2573
TONAGH,95SS28,2020,All persons,All ages,2518
TWINBROOK,95SS29,2020,All persons,All ages,2609
WALLACE PARK,95SS30,2020,All persons,All ages,3656
BALLYMAGUIGAN,95TT01,2020,All persons,All ages,3128
BELLAGHY,95TT02,2020,All persons,All ages,2810
CASTLEDAWSON,95TT03,2020,All persons,All ages,3522
DRAPERSTOWN,95TT04,2020,All persons,All ages,3213
GLEBE,95TT05,2020,All persons,All ages,3249
GULLADUFF,95TT06,2020,All persons,All ages,3029
KNOCKCLOGHRIM,95TT07,2020,All persons,All ages,3002
LECUMPHER,95TT08,2020,All persons,All ages,2919
LOWER GLENSHANE,95TT09,2020,All persons,All ages,3061
MAGHERA,95TT10,2020,All persons,All ages,2861
SWATRAGH,95TT11,2020,All persons,All ages,3614
TOBERMORE,95TT12,2020,All persons,All ages,2720
TOWN PARKS EAST,95TT13,2020,All persons,All ages,2940
TOWN PARKS WEST,95TT14,2020,All persons,All ages,2388
UPPERLANDS,95TT15,2020,All persons,All ages,2597
VALLEY,95TT16,2020,All persons,All ages,2738
ARMOY,95UU01,2020,All persons,All ages,1120
BALLYLOUGH,95UU02,2020,All persons,All ages,1061
BONAMARGY AND RATHLIN,95UU03,2020,All persons,All ages,904
BUSHMILLS,95UU04,2020,All persons,All ages,727
CARNMOON,95UU05,2020,All persons,All ages,1059
DALRIADA,95UU06,2020,All persons,All ages,1475
DUNSEVERICK,95UU07,2020,All persons,All ages,791
GLENAAN,95UU08,2020,All persons,All ages,1205
GLENARIFF,95UU09,2020,All persons,All ages,1596
GLENDUN,95UU10,2020,All persons,All ages,1148
GLENSHESK,95UU11,2020,All persons,All ages,968
GLENTAISIE,95UU12,2020,All persons,All ages,1420
KINBANE,95UU13,2020,All persons,All ages,922
KNOCKLAYD,95UU14,2020,All persons,All ages,1978
MOSS-SIDE AND MOYARGET,95UU15,2020,All persons,All ages,1001
ANNALONG,95VV01,2020,All persons,All ages,3412
BALLYBOT,95VV02,2020,All persons,All ages,2308
BESSBROOK,95VV03,2020,All persons,All ages,2865
BINNIAN,95VV04,2020,All persons,All ages,3405
BURREN AND KILBRONEY,95VV05,2020,All persons,All ages,4946
CAMLOUGH,95VV06,2020,All persons,All ages,3816
CLONALLAN,95VV07,2020,All persons,All ages,4521
CREGGAN,95VV08,2020,All persons,All ages,3544
CROSSMAGLEN,95VV09,2020,All persons,All ages,2950
DAISY HILL,95VV10,2020,All persons,All ages,3456
DERRYLECKAGH,95VV11,2020,All persons,All ages,4779
DERRYMORE,95VV12,2020,All persons,All ages,3607
DONAGHMORE,95VV13,2020,All persons,All ages,3838
DRUMALANE,95VV14,2020,All persons,All ages,3614
DRUMGULLION,95VV15,2020,All persons,All ages,3158
FATHOM,95VV16,2020,All persons,All ages,3393
FORKHILL,95VV17,2020,All persons,All ages,4823
KILKEEL CENTRAL,95VV18,2020,All persons,All ages,3754
KILKEEL SOUTH,95VV19,2020,All persons,All ages,2960
LISNACREE,95VV20,2020,All persons,All ages,3248
MAYOBRIDGE,95VV21,2020,All persons,All ages,4587
NEWTOWNHAMILTON,95VV22,2020,All persons,All ages,3376
ROSTREVOR,95VV23,2020,All persons,All ages,2847
SEAVIEW,95VV24,2020,All persons,All ages,3167
SILVER BRIDGE,95VV25,2020,All persons,All ages,4204
SPELGA,95VV26,2020,All persons,All ages,3788
ST MARY'S,95VV27,2020,All persons,All ages,2341
ST PATRICK'S,95VV28,2020,All persons,All ages,3477
TULLYHAPPY,95VV29,2020,All persons,All ages,3560
WINDSOR HILL,95VV30,2020,All persons,All ages,3065
ABBEY,95WW01,2020,All persons,All ages,2922
